Timmy,SP,The Artisan 🎨,Strength 🦁,I am so strong!
Alex,NF,The Idealist 💭,The High Priestess 🔮,chill~
Khoa,SP,The Artisan 🎨,The Chariot 🐎,normal
Phat,NT,The Rational 🧠,The Magician ✨,fake result
Tai,SJ,The Guardian 🛡️,The Hermit 🕯️,weird
Phong,NF,The Idealist 💭,The Lovers 💖,so-so
Phuc,SJ,The Guardian 🛡️,The Hanged Man ⏳,hi
Luong,NT,The Rational 🧠,The Emperor 👑,maybe
Bao,SJ,The Guardian 🛡️,The Hermit 🕯️,yippie
Hao,NF,The Idealist 💭,The Lovers 💖,love to hear this result
Dung,NT,The Rational 🧠,The Emperor 👑,i know
Duy,NT,The Rational 🧠,The Emperor 👑,shocked
Lashi,NF,The Idealist 💭,The High Priestess 🔮,wow amazing!
